topic_id,top_words
0,"ax, max, g9v, b8f, a86, pl, 145, 1d9, 0t, 1t"
1,"00, db, encryption, israel, government, privacy, security, israeli, clipper, law"
2,"cx, w7, c_, mv, hz, ah, uw, t7, ck, chz"
3,"space, gun, new, national, states, state, university, research, use, year"
4,"drive, game, card, team, year, scsi, like, new, good, just"
5,"edu, file, com, windows, available, mail, ftp, program, window, use"
6,"god, car, jesus, like, good, just, time, bike, new, don"
7,"10, 25, 11, 12, 15, 20, 16, 14, 13, 18"
8,"people, don, think, just, know, like, say, said, god, did"
9,"use, don, like, just, know, key, problem, does, time, using"
